season,fixture_id,round,date,status,home_team,home_goals,away_goals,away_team
2024,1180417,Regular Season - 7,2024-06-01T19:00:00+00:00,FT,Vitoria,0,2,Atletico Goianiense
2024,1180418,Regular Season - 7,2024-06-01T21:30:00+00:00,FT,Fluminense,1,1,Juventude
2024,1180423,Regular Season - 7,2024-06-01T21:30:00+00:00,FT,Cuiaba,0,1,Internacional
2024,1180420,Regular Season - 7,2024-06-02T00:00:00+00:00,FT,Corinthians,0,1,Botafogo
2024,1180419,Regular Season - 7,2024-06-02T19:00:00+00:00,FT,Vasco DA Gama,1,6,Flamengo
2024,1180424,Regular Season - 7,2024-06-02T19:00:00+00:00,FT,Criciuma,1,2,Palmeiras
2024,1180416,Regular Season - 7,2024-06-02T19:00:00+00:00,FT,Atletico-MG,1,1,Bahia
2024,1180421,Regular Season - 7,2024-06-02T21:30:00+00:00,FT,Sao Paulo,2,0,Cruzeiro
2024,1180422,Regular Season - 7,2024-06-02T21:30:00+00:00,FT,Fortaleza EC,1,0,Atletico Paranaense
2024,1180404,Regular Season - 5,2024-06-05T22:00:00+00:00,FT,Juventude,1,0,Atletico Goianiense
2024,1180373,Regular Season - 2,2024-06-05T23:00:00+00:00,FT,Cuiaba,0,0,Vitoria
2024,1180414,Regular Season - 6,2024-06-09T19:00:00+00:00,FT,Criciuma,2,5,Cuiaba
2024,1180433,Regular Season - 8,2024-06-11T22:00:00+00:00,FT,Atletico Goianiense,2,2,Corinthians
2024,1180434,Regular Season - 8,2024-06-11T22:00:00+00:00,FT,Juventude,1,1,Vitoria
2024,1180429,Regular Season - 8,2024-06-11T23:00:00+00:00,FT,Botafogo,1,0,Fluminense
2024,1180431,Regular Season - 8,2024-06-12T00:30:00+00:00,FT,RB Bragantino,1,2,Atletico-MG
2024,1180426,Regular Season - 8,2024-06-13T22:00:00+00:00,FT,Cruzeiro,2,1,Cuiaba
2024,1180425,Regular Season - 8,2024-06-13T23:00:00+00:00,FT,Internacional,0,0,Sao Paulo
2024,1180428,Regular Season - 8,2024-06-13T23:00:00+00:00,FT,Flamengo,2,1,Gremio
2024,1180432,Regular Season - 8,2024-06-13T23:00:00+00:00,FT,Atletico Paranaense,3,1,Criciuma
2024,1180427,Regular Season - 8,2024-06-14T00:30:00+00:00,FT,Bahia,1,0,Fortaleza EC
2024,1180430,Regular Season - 8,2024-06-14T00:30:00+00:00,FT,Palmeiras,2,0,Vasco DA Gama
2024,1180441,Regular Season - 9,2024-06-15T21:30:00+00:00,FT,RB Bragantino,2,1,Juventude
2024,1180438,Regular Season - 9,2024-06-16T00:00:00+00:00,FT,Fluminense,1,2,Atletico Goianiense
2024,1180440,Regular Season - 9,2024-06-16T19:00:00+00:00,FT,Corinthians,2,2,Sao Paulo
2024,1180442,Regular Season - 9,2024-06-16T19:00:00+00:00,FT,Atletico Paranaense,1,1,Flamengo
2024,1180437,Regular Season - 9,2024-06-16T19:00:00+00:00,FT,Vitoria,2,1,Internacional
2024,1180435,Regular Season - 9,2024-06-16T21:30:00+00:00,FT,Gremio,1,2,Botafogo
2024,1180439,Regular Season - 9,2024-06-16T21:30:00+00:00,FT,Vasco DA Gama,0,0,Cruzeiro
2024,1180444,Regular Season - 9,2024-06-16T21:30:00+00:00,FT,Criciuma,2,2,Bahia
2024,1180443,Regular Season - 9,2024-06-16T21:30:00+00:00,FT,Cuiaba,5,0,Fortaleza EC
2024,1180436,Regular Season - 9,2024-06-17T23:30:00+00:00,FT,Atletico-MG,0,4,Palmeiras
2024,1180449,Regular Season - 10,2024-06-19T22:00:00+00:00,FT,Botafogo,1,1,Atletico Paranaense
2024,1180453,Regular Season - 10,2024-06-19T22:00:00+00:00,FT,Atletico Goianiense,1,2,Criciuma
2024,1180451,Regular Season - 10,2024-06-19T23:00:00+00:00,FT,Sao Paulo,0,1,Cuiaba
2024,1180454,Regular Season - 10,2024-06-19T23:00:00+00:00,FT,Juventude,2,0,Vasco DA Gama
2024,1180452,Regular Season - 10,2024-06-19T23:00:00+00:00,FT,Fortaleza EC,1,0,Gremio
2024,1180445,Regular Season - 10,2024-06-20T00:30:00+00:00,FT,Internacional,1,0,Corinthians
2024,1180446,Regular Season - 10,2024-06-20T00:30:00+00:00,FT,Cruzeiro,2,0,Fluminense
2024,1180447,Regular Season - 10,2024-06-20T21:30:00+00:00,FT,Vitoria,4,2,Atletico-MG
2024,1180448,Regular Season - 10,2024-06-20T23:00:00+00:00,FT,Flamengo,2,1,Bahia
2024,1180450,Regular Season - 10,2024-06-21T00:30:00+00:00,FT,Palmeiras,2,1,RB Bragantino
2024,1180464,Regular Season - 11,2024-06-22T19:00:00+00:00,FT,Criciuma,2,1,Botafogo
2024,1180455,Regular Season - 11,2024-06-22T20:30:00+00:00,FT,Gremio,0,1,Internacional
2024,1180463,Regular Season - 11,2024-06-22T21:30:00+00:00,FT,Cuiaba,0,0,Atletico Goianiense
2024,1180459,Regular Season - 11,2024-06-23T00:30:00+00:00,FT,Vasco DA Gama,4,1,Sao Paulo
2024,1180457,Regular Season - 11,2024-06-23T19:00:00+00:00,FT,Bahia,4,1,Cruzeiro
2024,1180458,Regular Season - 11,2024-06-23T19:00:00+00:00,FT,Fluminense,0,1,Flamengo
2024,1180462,Regular Season - 11,2024-06-23T19:00:00+00:00,FT,Atletico Paranaense,1,1,Corinthians
2024,1180460,Regular Season - 11,2024-06-23T21:30:00+00:00,FT,Palmeiras,3,1,Juventude
2024,1180461,Regular Season - 11,2024-06-23T21:30:00+00:00,FT,RB Bragantino,2,1,Vitoria
2024,1180456,Regular Season - 11,2024-06-23T21:30:00+00:00,FT,Atletico-MG,1,1,Fortaleza EC
2024,1180469,Regular Season - 12,2024-06-26T22:00:00+00:00,FT,Botafogo,2,1,RB Bragantino
2024,1180466,Regular Season - 12,2024-06-26T22:00:00+00:00,FT,Cruzeiro,2,0,Atletico Paranaense
2024,1180470,Regular Season - 12,2024-06-26T23:00:00+00:00,FT,Corinthians,1,1,Cuiaba
2024,1180473,Regular Season - 12,2024-06-26T23:00:00+00:00,FT,Atletico Goianiense,1,1,Gremio
2024,1180474,Regular Season - 12,2024-06-26T23:00:00+00:00,FT,Juventude,2,1,Flamengo
2024,1180467,Regular Season - 12,2024-06-27T00:30:00+00:00,FT,Bahia,2,1,Vasco DA Gama
2024,1180465,Regular Season - 12,2024-06-27T00:30:00+00:00,FT,Internacional,1,2,Atletico-MG
2024,1180472,Regular Season - 12,2024-06-27T00:30:00+00:00,FT,Fortaleza EC,3,0,Palmeiras
2024,1180468,Regular Season - 12,2024-06-27T22:00:00+00:00,FT,Fluminense,0,1,Vitoria
2024,1180471,Regular Season - 12,2024-06-27T23:00:00+00:00,FT,Sao Paulo,2,1,Criciuma
2024,1180479,Regular Season - 13,2024-06-29T21:30:00+00:00,FT,Vasco DA Gama,1,1,Botafogo
2024,1180483,Regular Season - 13,2024-06-29T21:30:00+00:00,FT,Cuiaba,1,1,RB Bragantino
